xo,yo,zo,x,y,z
0,0,0,0.508467040373078,0.448875480065641,0.581100401099115
0,0,1,0.552496976707042,0.839544204455474,1.35064765006605
0,0,2,0.662370505113749,0.292798493200207,2.4872044916483
0,0,3,0.400458769592808,0.437511143130044,3.5198918605817
0,0,4,0.53735124234396,0.324274175006116,4.40135904557907
0,0,5,0.530411459474487,0.485316940015227,5.59022721397874
0,0,6,0.750836936965738,0.764560960162659,6.33113285799611
0,0,7,1.03588378866616,0.197201791557338,7.34131261627873
0,0,8,0.611390183644244,0.310098413251262,8.22588819437543
0,0,9,0.832776494305083,0.277037221714324,9.22414442547913
0,0,10,0.874129672219798,0.33167047087727,10.2753363219097
1,0,0,1.49278678741035,0.848600633724818,0.730251192190813
1,0,1,1.27071172004746,0.417810607621051,1.53936690013437
1,0,2,1.26168079288686,0.615059561063163,2.53106759882424
1,0,3,1.21861935846241,0.56425411121149,3.64241012416044
1,0,4,1.24193369894777,0.767058177857767,4.42135664631012
1,0,5,1.18882124660824,0.289281371787827,5.35027714299379
1,0,6,1.20059743477017,0.465201845565932,6.41073065468851
1,0,7,1.15090779724304,0.37419188940803,7.61171090430595
1,0,8,1.11024676639787,0.381332650462341,8.47478296507535
1,0,9,1.07648452507301,0.469054751208284,9.50715964693374
1,0,10,1.05561282551271,0.664999713053941,10.7379677896568
2,0,0,2.64673937118235,0.761012894926994,0.808698342787832
2,0,1,2.68669844581318,1.11373248830261,2.20793032658703
2,0,2,2.6666191729672,0.614518716329328,3.13580389000237
2,0,3,2.50645318670647,0.981294945898219,3.64075917553469
2,0,4,2.26147733091226,0.847131170973448,4.68487529717378
2,0,5,2.21972889777622,1.02566278173843,5.97455135511216
2,0,6,2.13688815368578,1.3588956718227,7.06937833918141
2,0,7,2.10749415475477,0.788010983813126,7.84758638595749
2,0,8,2.086730405771,0.826734136224132,8.44914131905221
2,0,9,2.12028250005998,0.575690635541535,9.28063211862052
2,0,10,2.14157347160427,0.401383545841355,10.1872709643627
3,0,0,3.75546048047247,0.284576584037863,0.313861057770442
3,0,1,3.92763868021128,0.16385984955293,1.21054568387044
3,0,2,4.20196633029689,0.161001599683629,2.24540711264497
3,0,3,3.60224890578028,0.357961255730719,3.14200859481226
3,0,4,3.64599391401862,0.133174695634007,4.15137059319278
3,0,5,3.48376978494972,0.188972780441649,5.15939400531726
3,0,6,3.70965159649655,0.108830238658006,6.21473060425417
3,0,7,3.54955252272235,0.138485983959759,7.23328144399888
3,0,8,3.51887542769622,0.347897593047525,8.16176146459112
3,0,9,3.7022667779373,0.167836994867735,9.19248940260394
3,0,10,3.97894212551781,0.122218532000737,10.2350747183359
4,0,0,4.49749885840119,0.418816307492421,1.06036007172717
4,0,1,4.74616937719539,1.50490170612687,2.22253820049294
4,0,2,5.00705067476194,1.3590123408969,3.07211071405193
4,0,3,5.47994417244941,0.567788196912414,4.07825409900201
4,0,4,5.29216882329224,1.2251786273935,4.72536190439654
4,0,5,4.9946081700942,0.543253828947898,5.97643711822956
4,0,6,4.70044384849377,1.12120413817916,6.86214360032256
4,0,7,4.65029899195523,0.559057834997463,7.74997376386114
4,0,8,4.84312246511779,0.660040910071451,9.01177400996078
4,0,9,5.16529669137867,0.64910946021954,10.2058021296717
4,0,10,5.07062938087456,0.959061911475766,11.194748090725
5,0,0,5.84434823435528,0.606774395238594,0.686829317069415
5,0,1,6.22050435356491,0.647727661120774,1.59627745674639
5,0,2,6.05559489595728,0.705112235034368,2.57923811516986
5,0,3,6.15299015643316,0.617829657543237,3.42331495983888
5,0,4,6.44778187857967,0.326105729810873,4.27473513885611
5,0,5,6.31640956385807,0.348333652539929,5.38681689834888
5,0,6,6.5656299836614,0.33134298160688,6.49984091119616
5,0,7,6.7257255883037,0.508815849100674,7.50393902758975
5,0,8,7.28137441670962,0.342356246791608,8.25360230439948
5,0,9,7.86322892205646,0.330637676564315,9.15198891814348
5,0,10,8.27427728133828,0.213372700496848,10.1425987562305
6,0,0,6.41656469351669,0.693797818659543,0.349967937623559
6,0,1,6.36138661510505,0.487891749606759,1.35593441799887
6,0,2,6.23534481111978,0.193878291694829,2.25356275396913
6,0,3,6.30834692090925,0.342072831849756,3.25285609440169
6,0,4,6.31800481321666,0.306429803442122,4.21167897120064
6,0,5,6.40016912223894,0.216639554210033,5.13201761492507
6,0,6,6.39809913735684,0.154280485982788,6.08006621499513
6,0,7,6.55132381598734,0.0834390757496648,7.0652952114502
6,0,8,6.43339701801605,0.0854075000612013,8.06274034163823
6,0,9,6.46712826003244,0.0497648021726428,9.03251802543067
6,0,10,6.62886043532098,0.0423726038456057,10.0205689111909
7,0,0,7.46664184567511,0.815957485476947,1.26209994229339
7,0,1,7.23452393652298,1.39854840764736,1.9581984138561
7,0,2,7.22927277951913,1.35845883318529,3.23587580626618
7,0,3,7.26743185447752,1.61822164745069,4.69531180758021
7,0,4,7.17964550939051,1.39330101689133,5.51399736359993
7,0,5,7.25232796914155,2.14191030211555,5.82326910280124
7,0,6,7.3004927652019,0.877820141846553,6.9911188395958
7,0,7,7.15247460295564,0.949539238581036,7.82798258075831
7,0,8,7.10750494942424,1.08056382606512,8.62061423087863
7,0,9,7.05441198675532,0.49242258994645,9.39063489771475
7,0,10,7.05568144789904,0.483089800257313,10.3055078743351
8,0,0,8.26018429341213,1.16447443248435,0.968797446215957
8,0,1,8.24514590754001,0.830330605439965,1.54637850610702
8,0,2,8.26858309919163,0.520303951842725,2.78008720558785
8,0,3,8.21613287645623,0.715790955367134,3.63673542038773
8,0,4,8.17679123371388,0.912820773741477,4.49212288081869
8,0,5,8.12915610428805,0.532886414160751,5.42736549865526
8,0,6,8.16951730207644,0.311877951926159,6.23925706933512
8,0,7,8.18902625555837,0.176117901352419,7.29598789208208
8,0,8,8.23608232919286,0.354299530491229,8.19655098847244
8,0,9,8.15969435947929,0.174704611481639,9.1689961683179
8,0,10,8.23774578697553,0.241563022071145,10.1005379888389
9,0,0,9.84110412133003,0.667484694208762,1.13833016709403
9,0,1,9.72609953012969,1.5392792910452,1.60998994036105
9,0,2,9.50928654290043,0.451654834927911,2.81277313165573
9,0,3,9.46697212184054,0.632019998656155,4.1641117806102
9,0,4,9.6187289960002,0.599847588999354,4.88110861371142
9,0,5,9.42934443273369,1.03395035879772,5.95654238178487
9,0,6,9.49832939481861,0.849400736140315,7.14836370034096
9,0,7,9.28070335599809,0.810214269029255,7.96763672435101
9,0,8,9.18907341906758,0.785406246033693,8.69992600023965
9,0,9,9.13254583466562,0.960873421490252,9.45955153019512
9,0,10,9.12766325379251,0.50230878928327,10.460392930087
10,0,0,10.4875522033875,0.434493300517917,0.964364272724345
10,0,1,10.6899077621511,1.33925376955295,1.91631588971225
10,0,2,10.3764403792899,0.733854622115591,2.89115248013868
10,0,3,10.3418855616879,0.769051120378859,4.31865240499269
10,0,4,10.5100804985148,1.41636962432124,5.69953639759185
10,0,5,10.6019681950023,2.04538846279966,5.97135335820336
10,0,6,10.3217559643194,1.20544002186587,6.78876535593583
10,0,7,10.4593218898874,0.459919759735939,7.74698343314953
10,0,8,10.3706013829932,1.11821553302553,8.80878001609773
10,0,9,10.306674083662,1.09452189830198,10.0080389888432
10,0,10,10.2557666650416,1.15194590163867,11.0080087338305
11,0,0,12.3292228711108,0.457000910987402,0.793618397691814
11,0,1,12.7218426108169,0.738987621992749,1.91276014191836
11,0,2,13.2768492924926,1.04036193239398,2.836895672096
11,0,3,12.5652658566619,1.06772603985489,3.69527670279626
11,0,4,12.2881305350513,0.421300745442987,4.46005382801092
11,0,5,11.758159093847,0.659142391117744,5.46728147832144
11,0,6,11.547055494448,0.531401283301384,6.43651761008277
11,0,7,11.3954939447648,0.552346475814487,7.40516005378657
11,0,8,11.4972572302518,0.212973266166022,8.4052326992072
11,0,9,11.6649905651737,0.508267307618415,9.38149972259748
11,0,10,11.3563766405978,0.223828384152598,10.2168756274731
12,0,0,12.7775441927558,0.870508037634239,0.504389645685722
12,0,1,12.4905078944617,0.729272527516979,1.37670542621382
12,0,2,12.6991666005306,0.202325661108602,2.35148457600387
12,0,3,12.3891686620516,0.234536068256906,3.19113168171439
12,0,4,12.3998455694651,0.123058408466372,4.15202683931915
12,0,5,12.5348813093152,0.210929732940242,5.10404175116874
12,0,6,12.6467875029928,0.0780577656178894,6.08917399168129
12,0,7,12.8116132192661,0.10032110498071,7.08124028668533
12,0,8,13.1575200299577,0.101724082357481,8.06606224713033
12,0,9,12.7120324169759,0.0464246972071965,9.04526428302072
12,0,10,12.5636542252781,0.0260329693034755,10.0660923645174
13,0,0,13.4996857029307,0.400333010138168,0.919889081479035
13,0,1,13.5849480900054,1.03358041869508,1.78981712831621
13,0,2,13.8669347078392,1.11922440309989,2.93051915140469
13,0,3,14.2119652659832,1.08027253251602,3.84846900863248
13,0,4,13.7014058095664,1.25507204097871,4.81787549228702
13,0,5,13.7840128340551,1.10562676631897,5.56635567025476
13,0,6,13.9792442747205,0.448957415652484,6.67959830931743
13,0,7,14.0723180498548,0.537025623686355,7.64939127387661
13,0,8,14.4508178054437,0.647755679007793,8.75897787854315
13,0,9,13.9932500954643,0.888239225706117,9.89747833606949
13,0,10,13.5525426350925,1.31595812606158,11.1652869831959
14,0,0,14.8697340270226,1.31787362362465,0.613612887521517
14,0,1,14.5090843056232,0.398087922518605,1.79153123485895
14,0,2,14.5836759868937,1.18548444923964,2.43464515462937
14,0,3,14.7582026516725,0.445727008747103,3.56168140950954
14,0,4,14.623376077792,0.409580659167005,4.57134730443241
14,0,5,14.7412646327892,0.60585284116878,5.49386936227118
14,0,6,14.9585636197246,0.29189497591968,6.28210129653726
14,0,7,15.2501861470176,0.27837815228731,7.21340121433335
14,0,8,15.4609299806775,0.19922267662687,8.24174175298887
14,0,9,15.2617465456524,0.153681137894252,9.29315712087165
14,0,10,14.9972354745441,0.235062227539718,10.398928939916
15,0,0,15.6875841809874,0.529016112169538,0.859467155765203
15,0,1,15.7690645182951,1.19878142451488,1.43674846154587
15,0,2,15.7895662908667,0.247144021576838,2.62374496670118
15,0,3,15.6795872898133,0.345455478275713,3.76289507763033
15,0,4,15.782587510136,0.715153278346098,4.43441005537364
15,0,5,15.7969655483938,0.447735289513007,5.62119267303508
15,0,6,15.779310971717,0.814753932128681,6.60970504620065
15,0,7,15.7051183367808,0.480383477357096,7.36745507056446
15,0,8,15.4265345467933,0.478597989509236,8.25832677997975
15,0,9,15.4649457051696,0.249860763460185,9.22383004033566
15,0,10,15.5657521905922,0.278484290372763,10.272238595422
16,0,0,16.6323180522117,0.673103680696884,0.412509409030114
16,0,1,16.7756022136491,0.275460172523327,1.26079082150955
16,0,2,16.6647783529796,0.243994692220429,2.15911047696571
16,0,3,16.6049403615213,0.159872553530099,3.2187921334277
16,0,4,16.8089348613339,0.161338271231942,4.2272472682043
16,0,5,16.5825234241002,0.157492797243942,5.30781101561292
16,0,6,16.7719926523736,0.390495038405363,6.44681019313929
16,0,7,17.0372378277541,0.44623224230244,7.38919486740093
16,0,8,17.1367873800269,0.370429244343959,8.5735751933677
16,0,9,17.6367919906278,0.491613634567023,9.40540747523813
16,0,10,17.296616858448,0.212575682747417,10.4264503267994
17,0,0,18.092849082761,1.18945460841932,0.650736649101446
17,0,1,18.4538496256464,0.811323221192828,1.48752706017656
17,0,2,18.3308367833797,0.431463751630862,2.48344045862265
17,0,3,18.1436050572499,0.647493333563818,3.59503717348633
17,0,4,18.0961518704585,0.487491110291662,4.70341142154398
17,0,5,17.9936468810025,0.51608309576204,5.79038368018243
17,0,6,18.0313734653619,0.412739293566441,6.91845465643677
17,0,7,18.3391803601486,0.65098868019162,7.73404565262821
17,0,8,18.8331859065826,1.0505585703859,8.9275449816077
17,0,9,19.2653032972169,1.30954761021183,9.80752872088634
17,0,10,19.2076357725829,0.810634429113053,11.111124207202
18,0,0,19.314338398955,0.402868216823146,0.817469976487317
18,0,1,18.8986852975984,1.18052124747249,2.07128525389515
18,0,2,18.7714757826857,0.901098045368588,3.44640530778743
18,0,3,18.6685218104333,0.801776907299648,3.88325593377617
18,0,4,18.5390688369478,0.600368994610175,4.46963673890958
18,0,5,18.3840530596162,0.402494780986697,5.32023596789106
18,0,6,18.4056474097648,0.188110754781626,6.27867478808514
18,0,7,18.2897753108617,0.21497600600054,7.24691045595129
18,0,8,18.1874471621442,0.319711184781966,8.29124910672824
18,0,9,18.2198580498865,0.428723427535923,9.42332370420113
18,0,10,18.1899965504985,0.383274988150268,10.4220096252699
19,0,0,19.8911808730144,0.382407114264138,0.54846463952883
19,0,1,20.2088770362352,0.795778497764031,1.76658705018715
19,0,2,19.9858781950969,0.981223597874116,2.58080203595916
19,0,3,19.6668072239554,0.699385930081099,3.51792867758458
19,0,4,19.8754740624211,0.657020958341866,4.53521971573192
19,0,5,19.4686412017011,0.534865864267416,5.49045420409405
19,0,6,19.3921367853619,0.642966505789798,6.43473089779205
19,0,7,19.3601586791201,0.415651925405407,7.28367307030586
19,0,8,19.3386620991047,0.398492773865385,8.18021493639167
19,0,9,19.2716501192888,0.248912082679249,9.19581819102742
19,0,10,19.3680679607029,0.211994472443489,10.2640211653449
20,0,0,20.8981825717716,0.639303651710728,0.329328728924925
20,0,1,21.3314744861286,0.194702104734029,1.17411215226824
20,0,2,21.109621504246,0.217782835568944,2.0948499466964
20,0,3,21.5631744447421,0.0949279680740778,3.12716448724342
20,0,4,21.4201213398059,0.186720389314735,4.14267957760332
20,0,5,20.955949501185,0.124900399906026,5.19474977642255
20,0,6,20.9915409054625,0.110866302016274,6.1060911661883
20,0,7,21.0749055657976,0.084612906986241,7.07761829979587
20,0,8,21.2732188548104,0.040834928166737,8.07362728120406
20,0,9,20.9012404475187,0.0776067538908235,9.09717259210123
20,0,10,21.0352913336674,0.143009939250803,10.0643659364418
21,0,0,22.1892478800624,0.771011379967476,0.446206835547937
21,0,1,21.9506326928867,0.614470721133312,1.37078494679118
21,0,2,22.252238653346,0.479095547707431,2.39971630778677
21,0,3,22.1788491566399,0.309433770558104,3.33506668964656
21,0,4,21.6599148203239,0.274303814020905,4.29984694401082
21,0,5,21.6317877361934,0.253704687013792,5.24245793089043
21,0,6,21.3370184929633,0.323380021250989,6.31320705932736
21,0,7,21.2201585126434,0.430384796337969,7.20711916520646
21,0,8,21.1346868953761,0.145650695348906,8.22450525380876
21,0,9,21.1113732446455,0.251433774244164,9.23763396442937
21,0,10,21.1064962259739,0.352617030880638,10.2499222210096
22,0,0,22.4664940362521,0.995576014152555,0.495727149362684
22,0,1,22.2866737474176,0.667455172622432,1.54861039908502
22,0,2,22.1851856606821,0.658316390482593,2.73655308682247
22,0,3,22.2186574509409,0.563762709122553,3.64493769136204
22,0,4,22.27281565626,0.456374144694296,4.82314894027329
22,0,5,22.2504727276747,0.550437126308206,6.11475107306898
22,0,6,22.3320631438215,1.62645105582516,6.61631150205126
22,0,7,22.2765296924562,0.535645143420153,7.50969196843391
22,0,8,22.2766782159787,0.289907127913851,8.75810815066483
22,0,9,22.2198467521985,0.61078294174297,9.64536234184621
22,0,10,22.1736231650721,0.337031125529134,10.9665007038176
23,0,0,23.8564067820873,0.721996161474949,0.985936654070434
23,0,1,24.0594313836835,1.11793341450027,1.51420522453019
23,0,2,24.5043011880373,0.489008866049205,2.43300710179379
23,0,3,24.0827235651536,0.268641168087113,3.28846357952678
23,0,4,24.3543180673076,0.355086191621038,4.31199980288261
23,0,5,24.6457109904359,0.4078230675092,5.35959374698644
23,0,6,24.5353925289247,0.256375486536743,6.36279701171215
23,0,7,25.2944147104571,0.216282956081806,7.19907839687752
23,0,8,24.8206611304114,0.249127220993736,8.23118496827669
23,0,9,24.8301319883865,0.242072606013177,9.34650640559563
23,0,10,25.6533730284461,0.346534699370082,10.515525876908
24,0,0,25.0509724527521,1.08883027290134,1.06020334031008
24,0,1,24.8209958585265,1.51316823012968,1.90078630010453
24,0,2,24.5008092956644,0.874754729729296,2.89684842943291
24,0,3,24.7319121855666,0.763058600840154,3.64247422484834
24,0,4,24.574557589816,0.78540799856763,4.83297533534601
24,0,5,24.3136493718971,0.509977612419466,5.55311269568254
24,0,6,24.3115989164914,0.301675123739084,6.34412418716767
24,0,7,24.1745054416868,0.510437122356075,7.31214775147042
24,0,8,24.2601286534529,0.325227472615475,8.17166514954495
24,0,9,24.1957881355344,0.14106198981158,9.20541949685654
24,0,10,24.2134869515858,0.221649171554074,10.1862619290404
25,0,0,26.3526689124612,1.44531120820618,1.01827094711471
25,0,1,25.7540596374598,1.5000205651518,1.52034859099095
25,0,2,25.6241478843165,0.44463829789294,2.66927427872211
25,0,3,25.3791974458234,0.590585551039307,3.43102122835483
25,0,4,25.3477407986599,0.557763003553565,4.50599048495758
